url;name;price;image;available
http://madbearshop.ru/peptidy/ace-031.html;ACE-031;3600.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/6/0/60/original/418c31abb7daab1bce92099bcbec7eb6.jpg;
http://madbearshop.ru/peptidy/mgf-2-mg.html;MGF 2 мг;250.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/1/9/19/original/ce22851e843e1b8e3eb329c3e3cba0a6.png;
http://madbearshop.ru/peptidy/pt-141-10-mg.html;PT 141 10 мг;300.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/1/4/14/original/9ac7449ddcc1c7f165b740ba40e69c9c.png;
http://madbearshop.ru/eka-zhiroszhigateli/methyldrene-25mg.html;Methyldrene 25мг;2500.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/6/9/69/original/ea4224434c434f927b42c5d8d97d9534.jpg;
http://madbearshop.ru/dinatrop-dynatrope.html;Динатроп (Dynatrope);16200.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/6/6/66/original/1974f190437b85cbffc3c145529a3565.jpg;
http://madbearshop.ru/peptidy/folliastatin-344-1mg.html;Folliastatin-344 1mg;3200.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/3/9/39/original/292d8b4ae3234f3d1a4796c18959378e.jpg;
http://madbearshop.ru/kupit-dzhintropin-v-moskve.html;Джинтропин еврофарм (jintropin europharm) оригинал 100 единиц 10x10;6000.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/6/2/62/original/7e8e0c126b19f6c52ea6d26c3125f1dd.jpg;
http://madbearshop.ru/eka-zhiroszhigateli/black-widow-25mg.html;Black widow spider 25мг;2500.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/7/2/72/original/e37db3782a64bb1a902037866c194a2b.jpg;
http://madbearshop.ru/eka-zhiroszhigateli/asia-black-25mg.html;Asia Black 25мг;2500.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/7/1/71/original/2822828cebd157ac79b5b397b33b5e85.jpg;
http://madbearshop.ru/gormon-rosta-khajgetropin-hygetropin.html;Хайгетропин (Hygetropin) оригинал 100 единиц 10х10;5000.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/6/1/61/original/3a6f8715d888e0a19406f2d15a6fd61a.jpg;
http://madbearshop.ru/peptidy/melanotan-2-sprej-60-mg.html;Melanotan 2 спрей 20 мг;1000.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/1/8/18/original/9ddcc1a411bd5f38bd1ad48df423834a.jpg;
http://madbearshop.ru/peptidy/selank-5-mg.html;Selank 5 мг;300.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/1/5/15/original/47c8fc71cfb2a954ceb368224985f7dc.png;
http://madbearshop.ru/kupit-gormon-rosta-ansomon.html;Ансомон (Ansomone) оригинал 100 единиц 10х10;5500.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/3/4/34/original/597532a75820c2015b10ba647025f1eb.jpg;
http://madbearshop.ru/peptidy/aicar-50-mg.html;Aicar 50 мг;500.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/1/original/dad4b3cce18fca44968b304f429e994f.png;
http://madbearshop.ru/peptidy/tb-500-2-mg.html;ТБ 500 2 мг;250.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/1/6/16/original/6e4b5ead521db0f705e59dc2d4095347.png;
http://madbearshop.ru/peptidy/cjc-1295-2-mg.html;CJC 1295 2 мг;300.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/5/original/4df91d1d869b62c6a1f888636cb8932b.png;
http://madbearshop.ru/peptidy/dsip-2-mg.html;Dsip 2 мг;200.0;http://madbearshop.ru/images/stories/virtuemart/product/resized/magictoolbox_cache/c93f2102b9e9c5d239d729184f7e1d73/7/original/b282b69c6ed03671bf2931bdcb361a09.png;
