url;name;price;image;available
http://pepbar.ru/methyldrene_elite;MethylDrene 25 Elite;2500.0;http://pepbar.ru/image/cache/data/Tovar/метилдрен элит-500x500.jpg;1
http://pepbar.ru/melanotan-2;Меланотан 2 (10mg);800.0;http://pepbar.ru/image/cache/data/Tovar/Melanotan2-500x500.jpg;1
http://pepbar.ru/cjc-1295-with-dac;CJC 1295 with DAC (2mg);950.0;http://pepbar.ru/image/cache/data/Tovar/CJC-1295-with-dac-500x500.jpg;1
http://pepbar.ru/ghrp-2;GHRP-2 (5mg);350.0;http://pepbar.ru/image/cache/data/Tovar/GHRP-2-500x500.jpg;1
http://pepbar.ru/ghrp-6;GHRP-6 (5mg);350.0;http://pepbar.ru/image/cache/data/Tovar/GHRP-6-500x500.jpg;1
http://pepbar.ru/azia_black;Asia Black;2600.0;http://pepbar.ru/image/cache/data/Tovar/азия-500x500.jpg;1
http://pepbar.ru/viagra;Виагра;120.0;http://pepbar.ru/image/cache/data/Tovar/05-240x240-500x500.JPG;0
http://pepbar.ru/jintropin;Джинтропин реплика;4900.0;http://pepbar.ru/image/cache/data/Tovar/jintropin-500x500.jpg;0
http://pepbar.ru/hellfire;Hell fire;3490.0;http://pepbar.ru/image/cache/data/Tovar/Hellfire EPH 150-500x500-500x500.JPG;1
http://pepbar.ru/black-mamba;Black Mamba;3190.0;http://pepbar.ru/image/cache/data/Tovar/post-23362-1352887505-500x500.jpg;1
http://pepbar.ru/cialis;Сиалис;120.0;http://pepbar.ru/image/cache/data/Tovar/sialis-dzhenerik-1-tabletka-20-mg-075a3e-500x500.png;0
http://pepbar.ru/сardarol ;Cardarol;2500.0;http://pepbar.ru/image/cache/data/Tovar/_OBlt9hoqBI-500x500.jpg;1
http://pepbar.ru/gonadorelin;Gonadorelin (2mg);400.0;http://pepbar.ru/image/cache/data/Tovar/Gonadorelin-500x500.jpg;1
http://pepbar.ru/tb500;TB500 (2mg);500.0;http://pepbar.ru/image/cache/data/Tovar/tb-500-500x500.jpg;1
http://pepbar.ru/mgf;MGF (2mg);350.0;http://pepbar.ru/image/cache/data/Tovar/mgf-500x500.jpg;0
http://pepbar.ru/jack3d;Jack3d;2500.0;http://pepbar.ru/image/cache/data/Tovar/джек 3д-500x500.jpg;1
http://pepbar.ru/kigtropin;Кигтропин;550.0;http://pepbar.ru/image/cache/data/Tovar/kigtopin1-500x500.jpg;0
http://pepbar.ru/cjc-1295;CJC 1295 (2mg);550.0;http://pepbar.ru/image/cache/data/Tovar/CJC-1295-500x500.jpg;1
http://pepbar.ru/haygetropin;Хайгетропин;690.0;http://pepbar.ru/image/cache/data/Tovar/hygetropin-500x500.jpg;0
http://pepbar.ru/dmma;Экстракт герани (1,3-диметиламиламин - DMAA);300.0;http://pepbar.ru/image/cache/data/Tovar/ur7I5-ZP-qc-500x500.jpg;1
http://pepbar.ru/ansomone;Ансомон;7500.0;http://pepbar.ru/image/cache/data/Tovar/1383402667_ansomone-700x700-500x500.jpg;1
http://pepbar.ru/ginseng-kianpi-pil;GINSENG KIANPI PIL;1200.0;http://pepbar.ru/image/cache/data/Tovar/3AJuROILPsg-500x500.jpg;1
http://pepbar.ru/oxyelite-pro;OxyELITE Pro;2450.0;http://pepbar.ru/image/cache/data/Tovar/USP_oxy_elite_pro-500x500.jpg;0
http://pepbar.ru/melanotan-2-spray;Меланотан 2 (спрей) (20mg);1500.0;http://pepbar.ru/image/cache/data/Tovar/nasalspray__28747_zoom-500x500.jpg;0
http://pepbar.ru/peg-mgf;PEG MGF (2mg);950.0;http://pepbar.ru/image/cache/data/Tovar/PEG-MGF-500x500.jpg;1
http://pepbar.ru/klenbuterol;Кленбутерол 100 таб.;600.0;http://pepbar.ru/image/cache/data/Tovar/clenbuterol-500x500-500x500.jpg;0
http://pepbar.ru/сhina_white;China White;2500.0;http://pepbar.ru/image/cache/data/Tovar/54-500x500.jpg;1
http://pepbar.ru/hgh-frag-176-191;HGH frag176-191 (5mg);850.0;http://pepbar.ru/image/cache/data/Tovar/HGH176-191-5-500x500.jpg;1
http://pepbar.ru/levitra;Левитра;120.0;http://pepbar.ru/image/cache/data/Tovar/levitra-small-500x500.jpg;0
http://pepbar.ru/hexarelin;Hexarelin (5mg);1100.0;http://pepbar.ru/image/cache/data/Tovar/hexarelin-500x500.jpg;0
http://pepbar.ru/dsip;DSIP (1mg);350.0;http://pepbar.ru/image/cache/data/Tovar/DSIP-500x500.jpg;1
http://pepbar.ru/ipamorelin;Ipamorelin (5mg);700.0;http://pepbar.ru/image/cache/data/Tovar/ipamorelin-500x500.jpg;1
http://pepbar.ru/black-spider;Black spider;2700.0;http://pepbar.ru/image/cache/data/Tovar/cloma-pharma-laboratories-black-spider-100-caps-hard-series-500x500.jpg;1
