url;name;price;image;available;category
http://pepbar.ru/melanotan-2;Меланотан 2 (10mg);800.0;http://pepbar.ru/image/cache/data/Tovar/Melanotan2-500x500.jpg;1;Модель: Melanotan-2 Наличие: Есть в наличии
http://pepbar.ru/dsip;DSIP (1mg);350.0;http://pepbar.ru/image/cache/data/Tovar/DSIP-500x500.jpg;1;Модель: DSIP Наличие: Есть в наличии
http://pepbar.ru/viagra;Виагра;120.0;http://pepbar.ru/image/cache/data/Tovar/05-240x240-500x500.JPG;0;Модель: Viagra Наличие: Нет в наличии
http://pepbar.ru/index.php?route=product/product&product_id=97;Эскулап 5 таб;500.0;http://pepbar.ru/image/cache/data/Tovar/esculap20-500x500.jpg;1;Модель: Тадалафил 20 мг Наличие: Есть в наличии
http://pepbar.ru/ghrp-2;GHRP-2 (5mg);350.0;http://pepbar.ru/image/cache/data/Tovar/GHRP-2-500x500.jpg;1;Модель: GHRP-2 Наличие: Есть в наличии
http://pepbar.ru/mgf;MGF (2mg);350.0;http://pepbar.ru/image/cache/data/Tovar/mgf-500x500.jpg;0;Модель: MGF Наличие: Нет в наличии
http://pepbar.ru/jintropin;Джинтропин реплика;4900.0;http://pepbar.ru/image/cache/data/Tovar/jintropin-500x500.jpg;0;Модель: 10 флаконов по 10 ед Наличие: В наличии
http://pepbar.ru/ginseng-kianpi-pil;GINSENG KIANPI PIL;1200.0;http://pepbar.ru/image/cache/data/Tovar/3AJuROILPsg-500x500.jpg;1;Модель: GINSENG-KIANPI-PIL Наличие: Есть в наличии
http://pepbar.ru/gonadorelin;Gonadorelin (2mg);400.0;http://pepbar.ru/image/cache/data/Tovar/Gonadorelin-500x500.jpg;1;Модель: Gonadorelin Наличие: Есть в наличии
http://pepbar.ru/methyldrene_elite;MethylDrene 25 Elite;2500.0;http://pepbar.ru/image/cache/data/Tovar/метилдрен элит-500x500.jpg;1;Модель: 100 кап. Наличие: Есть в наличии
http://pepbar.ru/azia_black;Asia Black;2600.0;http://pepbar.ru/image/cache/data/Tovar/азия-500x500.jpg;1;Модель: 100 кап. Наличие: Есть в наличии
http://pepbar.ru/сhina_white;China White;2500.0;http://pepbar.ru/image/cache/data/Tovar/54-500x500.jpg;1;Модель: 100 таб Наличие: Есть в наличии
